No.,Time,Source,Destination,Protocol,Length,Info,attack_probability,prediction,confidence
32,1.325357,2.17.161.67,192.168.100.130,QUIC,68,Protected Payload (KP0),0.931376,ATTACK,0.931376
33,1.336138,2.17.161.67,192.168.100.130,QUIC,69,Protected Payload (KP0),0.931376,ATTACK,0.931376
34,1.337776,2.17.161.67,192.168.100.130,QUIC,1494,Protected Payload (KP0),0.931376,ATTACK,0.931376
35,1.371955,192.168.100.130,2.17.161.67,QUIC,74,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
36,1.549909,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
37,1.595306,2.17.161.67,192.168.100.130,QUIC,66,Protected Payload (KP0),0.931376,ATTACK,0.931376
38,1.613367,192.168.100.130,41.90.72.32,TCP,55,58843  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1,0.931376,ATTACK,0.931376
39,1.620057,41.90.72.32,192.168.100.130,TCP,66,443  >  58843 [ACK] Seq=1 Ack=2 Win=567 Len=0 SLE=1 SRE=2,0.931376,ATTACK,0.931376
40,2.003499,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
41,2.0437,2.17.161.67,192.168.100.130,QUIC,66,Protected Payload (KP0),0.931376,ATTACK,0.931376
42,2.277934,192.168.100.130,3.173.21.63,TCP,55,32564  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 93],0.931376,ATTACK,0.931376
43,2.292871,3.173.21.63,192.168.100.130,TCP,66,443  >  32564 [ACK] Seq=1 Ack=2 Win=352 Len=0 SLE=1 SRE=2,0.931376,ATTACK,0.931376
44,2.310567,192.168.100.130,3.173.21.63,TCP,55,17903  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1,0.931376,ATTACK,0.931376
45,2.322512,3.173.21.63,192.168.100.130,TCP,66,443  >  17903 [ACK] Seq=1 Ack=2 Win=142 Len=0 SLE=1 SRE=2,0.931376,ATTACK,0.931376
46,2.510577,192.168.100.130,135.225.242.109,TLSv1.2,105,Application Data,0.931376,ATTACK,0.931376
47,2.567017,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
48,2.695804,135.225.242.109,192.168.100.130,TLSv1.2,94,Application Data,0.931376,ATTACK,0.931376
49,2.7458,192.168.100.130,135.225.242.109,TCP,54,14448  >  443 [ACK] Seq=52 Ack=41 Win=253 Len=0,0.931376,ATTACK,0.931376
50,2.771853,192.168.100.40,255.255.255.255,UDP,240,6537  >  6537 Len=198,0.931376,ATTACK,0.931376
51,2.859834,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
52,2.900179,2.17.161.67,192.168.100.130,QUIC,66,Protected Payload (KP0),0.931376,ATTACK,0.931376
53,2.973377,192.168.100.130,47.246.7.204,TCP,55,25321  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1,0.931376,ATTACK,0.931376
54,3.049391,47.246.7.204,192.168.100.130,TCP,66,443  >  25321 [ACK] Seq=1 Ack=2 Win=83 Len=0 SLE=1 SRE=2,0.931376,ATTACK,0.931376
55,3.318722,192.168.100.130,192.168.100.5,TCP,66,57203  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
56,3.321514,192.168.100.130,192.168.1.4,TCP,66,57204  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
57,3.587262,192.168.100.130,51.11.192.51,TCP,54,"29507  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1020 Len=0",0.931376,ATTACK,0.931376
58,3.58777,192.168.100.130,41.90.72.8,TCP,54,"29501  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1024 Len=0",0.931376,ATTACK,0.931376
59,3.59565,41.90.72.8,192.168.100.130,TLSv1.2,78,Application Data,0.931376,ATTACK,0.931376
60,3.59565,41.90.72.8,192.168.100.130,TCP,54,"443  >  29501 [FIN, ACK] Seq=25 Ack=2 Win=554 Len=0",0.931376,ATTACK,0.931376
61,3.595801,192.168.100.130,41.90.72.8,TCP,54,"29501  >  443 [RST, ACK] Seq=2 Ack=25 Win=0 Len=0",0.931376,ATTACK,0.931376
62,3.706426,192.168.100.5,192.168.100.130,TCP,60,"7680  >  57203 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0.931376,ATTACK,0.931376
63,3.718013,51.11.192.51,192.168.100.130,TCP,54,"443  >  29507 [FIN, ACK] Seq=1 Ack=2 Win=16381 Len=0",0.931376,ATTACK,0.931376
64,3.718168,192.168.100.130,51.11.192.51,TCP,54,29507  >  443 [ACK] Seq=2 Ack=2 Win=1020 Len=0,0.931376,ATTACK,0.931376
65,4.217141,192.168.100.130,192.168.100.5,TCP,66,[TCP Port numbers reused] 57203  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
66,4.330877,192.168.100.130,192.168.1.4,TCP,66,[TCP Retransmission] 57204  >  7680 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM,0.931376,ATTACK,0.931376
67,4.353188,192.168.100.5,192.168.100.130,TCP,60,"7680  >  57203 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0",0.931376,ATTACK,0.931376
68,4.510389,192.168.100.130,2.17.161.67,QUIC,71,"Protected Payload (KP0), DCID=48c6591b3940fd2b",0.931376,ATTACK,0.931376
69,4.549249,2.17.161.67,192.168.100.130,QUIC,66,Protected Payload (KP0),0.931376,ATTACK,0.931376
